faiss_index,image_index
0,9
1,25
2,30
3,34
4,36
5,42
6,49
7,61
8,64
9,71
10,72
11,73
12,74
13,77
14,78
15,81
16,86
17,89
18,92
19,94
20,109
21,110
22,113
23,127
24,133
25,136
26,138
27,142
28,143
29,144
30,149
31,151
32,154
33,164
34,165
35,192
36,194
37,196
38,201
39,208
40,241
41,247
42,250
43,257
44,260
45,263
46,283
47,294
48,307
49,308
50,309
51,312
52,315
53,321
54,322
55,326
56,328
57,332
58,338
59,349
60,357
61,359
62,360
63,368
64,370
65,382
66,384
67,387
68,389
69,394
70,395
71,397
72,400
73,404
74,415
75,419
76,428
77,431
78,436
79,438
80,443
81,446
82,450
83,459
84,471
85,472
86,474
87,486
88,488
89,490
90,491
91,502
92,508
93,510
94,514
95,520
96,529
97,531
98,532
99,536
100,540
101,542
102,544
103,560
104,562
105,564
106,569
107,572
108,575
109,581
110,584
111,589
112,590
113,595
114,597
115,599
116,605
117,612
118,620
119,623
120,625
121,626
122,629
123,634
124,636
125,641
126,643
127,650
128,656
129,659
130,661
131,670
132,671
133,673
134,675
135,681
136,684
137,690
138,692
139,693
140,699
141,706
142,711
143,714
144,715
145,716
146,722
147,723
148,730
149,731
150,735
151,753
152,754
153,757
154,761
155,762
156,764
157,772
158,775
159,781
160,790
161,795
162,797
163,801
164,810
165,813
166,821
167,825
168,827
169,828
170,831
171,836
172,839
173,853
174,873
175,882
176,897
177,901
178,902
179,908
180,909
181,913
182,923
183,925
184,927
185,934
186,939
187,941
188,943
189,955
190,960
191,962
192,965
193,969
194,974
195,977
196,982
197,984
198,985
199,987
200,996
201,999
202,1006
203,1011
204,1014
205,1025
206,1029
207,1036
208,1053
209,1059
210,1063
211,1064
212,1072
213,1083
214,1084
215,1085
216,1089
217,1090
218,1098
219,1099
220,1102
221,1103
222,1107
223,1108
224,1111
225,1122
226,1138
227,1139
228,1144
229,1145
230,1146
231,1149
232,1153
233,1155
234,1164
235,1166
236,1168
237,1171
238,1176
239,1180
240,1183
241,1200
242,1204
243,1205
244,1213
245,1216
246,1224
247,1228
248,1232
249,1237
250,1238
251,1244
252,1261
253,1264
254,1270
255,1271
256,1282
257,1290
258,1292
259,1295
260,1298
261,1306
262,1307
263,1308
264,1311
265,1315
266,1319
267,1323
268,1330
269,1332
270,1340
271,1342
272,1347
273,1350
274,1355
275,1359
276,1360
277,1366
278,1369
279,1374
280,1375
281,1381
282,1386
283,1390
284,1392
285,1393
286,1397
287,1398
288,1401
289,1403
290,1404
291,1407
292,1408
293,1424
294,1431
295,1436
296,1442
297,1448
298,1451
299,1453
300,1455
301,1464
302,1472
303,1488
304,1496
305,1497
306,1501
307,1505
308,1507
309,1510
310,1515
311,1518
312,1522
313,1523
314,1525
315,1526
316,1527
317,1536
318,1548
319,1554
320,1558
321,1561
322,1562
323,1563
324,1569
325,1573
326,1577
327,1579
328,1580
329,1586
330,1589
331,1590
332,1591
333,1592
334,1596
335,1599
336,1611
337,1622
338,1625
339,1626
340,1637
341,1639
342,1645
343,1647
344,1655
345,1667
346,1668
347,1670
348,1674
349,1681
350,1682
351,1688
352,1697
353,1700
354,1706
355,1709
356,1712
357,1720
358,1722
359,1732
360,1737
361,1739
362,1756
363,1757
364,1762
365,1764
366,1771
367,1774
368,1777
369,1779
370,1781
371,1785
372,1786
373,1790
374,1792
375,1799
376,1803
377,1804
378,1810
379,1811
380,1813
381,1815
382,1822
383,1837
384,1840
385,1841
386,1852
387,1856
388,1864
389,1869
390,1875
391,1877
392,1888
393,1895
394,1900
395,1902
396,1903
397,1906
398,1907
399,1911
400,1912
401,1915
402,1924
403,1926
404,1941
405,1942
406,1943
407,1947
408,1948
409,1955
410,1958
411,1960
412,1966
413,1987
414,1994
415,1997
416,1999
417,2001
418,2007
419,2014
420,2024
421,2055
422,2056
423,2061
424,2066
425,2068
426,2072
427,2083
428,2089
429,2093
430,2106
431,2114
432,2124
433,2135
434,2139
435,2142
436,2148
437,2150
438,2154
439,2164
440,2171
441,2178
442,2179
443,2184
444,2191
445,2193
446,2197
447,2209
448,2211
449,2212
450,2217
451,2225
452,2229
453,2232
454,2235
455,2239
456,2240
457,2244
458,2255
459,2258
460,2270
461,2276
462,2278
463,2279
464,2280
465,2281
466,2283
467,2284
468,2290
469,2295
470,2296
471,2302
472,2309
473,2315
474,2337
475,2342
476,2346
477,2347
478,2349
479,2369
480,2372
481,2374
482,2377
483,2388
484,2389
485,2400
486,2402
487,2411
488,2415
489,2429
490,2434
491,2444
492,2445
493,2446
494,2448
495,2451
496,2453
497,2459
498,2466
499,2470
500,2471
501,2477
502,2495
503,2496
504,2498
505,2521
506,2525
507,2529
508,2531
509,2536
510,2543
511,2544
512,2545
513,2555
514,2559
515,2560
516,2562
517,2563
518,2567
519,2570
520,2575
521,2583
522,2585
523,2591
524,2602
525,2606
526,2608
527,2613
528,2614
529,2618
530,2619
531,2621
532,2623
533,2624
534,2639
535,2640
536,2644
537,2645
538,2658
539,2664
540,2672
541,2684
542,2686
543,2687
544,2690
545,2691
546,2693
547,2697
548,2703
549,2732
550,2742
551,2752
552,2753
553,2754
554,2755
555,2758
556,2759
557,2764
558,2770
559,2774
560,2776
561,2782
562,2822
563,2823
564,2833
565,2839
566,2842
567,2843
568,2849
569,2860
570,2867
571,2881
572,2886
573,2890
574,2892
575,2894
576,2896
577,2902
578,2907
579,2931
580,2951
581,2963
582,2964
583,2972
584,2982
585,2983
586,2985
587,2988
588,2989
589,2992
590,2998
591,3000
592,3001
593,3003
594,3008
595,3014
596,3035
597,3040
598,3048
599,3067
600,3076
601,3077
602,3080
603,3084
604,3091
605,3093
606,3103
607,3109
608,3118
609,3124
610,3125
611,3131
612,3134
613,3145
614,3148
615,3149
616,3157
617,3160
618,3178
619,3192
620,3197
621,3209
622,3217
623,3219
624,3220
625,3224
626,3225
627,3234
628,3236
629,3242
630,3244
631,3249
632,3259
633,3264
634,3270
635,3272
636,3276
637,3286
638,3293
639,3305
640,3310
641,3314
642,3320
643,3321
644,3325
645,3326
646,3335
647,3337
648,3342
649,3348
650,3353
651,3361
652,3365
653,3366
654,3375
655,3378
656,3382
657,3386
658,3389
659,3398
660,3412
661,3425
662,3432
663,3442
664,3457
665,3461
666,3464
667,3466
668,3474
669,3478
670,3480
671,3481
672,3483
673,3488
674,3493
675,3511
676,3514
677,3517
678,3518
679,3521
680,3528
681,3532
682,3535
683,3538
684,3579
685,3580
686,3590
687,3595
688,3602
689,3613
690,3623
691,3628
692,3637
693,3640
694,3668
695,3671
696,3682
697,3685
698,3690
699,3692
700,3693
701,3694
702,3703
703,3711
704,3713
705,3716
706,3729
707,3735
708,3737
709,3742
710,3745
711,3751
712,3761
713,3764
714,3770
715,3771
716,3779
717,3782
718,3786
719,3789
720,3793
721,3794
722,3799
723,3804
724,3812
725,3817
726,3823
727,3827
728,3830
729,3832
730,3837
731,3849
732,3860
733,3862
734,3865
735,3866
736,3867
737,3870
738,3877
739,3897
