faiss_index,image_index
0,46942
1,113
2,217856
3,105282
4,296360
5,131539
6,265818
7,301251
8,571989
9,483695
10,483139
11,567636
12,272217
13,317848
14,525106
15,143533
16,495996
17,188390
18,312917
19,431164
20,531979
21,407575
22,97372
23,497109
24,33650
25,62662
26,112536
27,105757
28,418500
29,71302
30,65869
31,79356
32,308350
33,528903
34,564545
35,318171
36,154384
37,196344
38,542509
39,546980
40,444636
41,68300
42,133608
43,78451
44,572876
45,53542
46,232417
47,146861
48,117040
49,353933
50,19036
51,561599
52,135671
53,234211
54,580931
55,67835
56,46078
57,312935
58,505919
59,488764
60,337619
61,492411
62,201059
63,195649
64,360143
65,288310
66,267516
67,106067
68,122040
69,142245
70,212787
71,22890
72,42820
73,561394
74,119460
75,497960
76,278675
77,247789
78,417141
79,503089
80,38041
81,434519
82,38083
83,383157
84,486717
85,128831
86,100277
87,433452
88,237357
89,279012
90,316746
91,35132
92,377716
93,281054
94,303127
95,59953
96,410632
97,91547
98,13176
99,361205
100,409546
101,27070
102,211107
103,208476
104,509657
105,504559
106,33358
107,345005
108,297370
109,485705
110,87266
111,207215
112,266117
113,281676
114,138921
115,448303
116,271466
117,368775
118,56303
119,54738
120,390288
121,19523
122,260443
123,449856
124,207323
125,106896
126,45844
127,14986
128,127054
129,410052
130,427805
131,425155
132,569996
133,277479
134,295491
135,341778
136,55090
137,35961
138,461750
139,51862
140,331334
141,60730
142,254139
143,47405
144,417413
145,371735
146,455482
147,304147
148,254989
149,474653
150,324428
151,227568
152,563803
153,136595
154,15581
155,36059
156,264424
157,357139
158,203235
159,276437
160,70589
161,14385
162,441054
163,146084
164,398616
165,126606
166,227828
167,86754
168,131312
169,562474
170,575577
171,568623
172,313260
173,368515
174,7938
175,310897
176,413090
177,526514
178,208875
179,566155
180,201326
181,562940
182,360610
183,135666
184,565087
185,541837
186,221882
187,374726
188,336939
189,375816
190,151570
191,278401
192,114674
193,350449
194,11420
195,179926
196,87135
197,334234
198,293175
199,84800
200,571906
201,451352
202,326143
203,146901
204,481725
205,281376
206,376384
207,99382
208,351598
209,520524
210,417693
211,360408
212,83836
213,394756
214,238948
215,456254
216,93607
217,505963
218,121879
219,24693
220,570060
221,255149
222,96008
223,470618
224,150932
225,240057
226,394476
227,17356
228,46441
229,552068
230,344935
231,177088
232,146886
233,480644
234,444353
235,445028
236,325302
237,599
238,383651
239,234948
240,12529
241,52209
242,104747
243,561673
244,232383
245,405312
246,104015
247,22871
248,405736
249,507827
250,327527
251,60041
252,341027
253,284176
254,470840
255,127622
256,243792
257,304012
258,287541
259,267927
260,319848
261,330486
262,53111
263,286483
264,395293
265,109826
266,506898
267,442645
268,252101
269,224042
270,116562
271,295565
272,46250
273,256097
274,283868
275,352228
276,89369
277,418609
278,206841
279,253307
280,395995
281,575303
282,335787
283,459050
284,227418
285,417814
286,473055
287,14575
288,287099
289,463903
290,388235
291,530966
292,118173
293,534988
294,25142
295,443984
296,457717
297,231103
298,358765
299,228297
300,345084
301,343679
302,41700
303,335992
304,256956
305,172784
306,438292
307,471718
308,343853
309,418982
310,263479
311,153080
312,503808
313,539167
314,16683
315,535593
316,68385
317,177093
318,407097
319,179763
320,388712
321,351477
322,121663
323,162200
324,510150
325,379349
326,46433
327,135965
328,430602
329,269493
330,100959
331,240298
332,479272
333,254984
334,195715
335,303650
336,297260
337,183392
338,523334
339,559483
340,106392
341,142239
342,540460
343,542234
344,380330
345,461634
346,376790
347,305104
348,352027
349,24396
350,407976
351,536417
352,35558
353,416972
354,396966
355,499958
356,286010
357,231142
358,450452
359,160818
360,416718
361,159121
362,299077
363,124033
364,174814
365,136015
366,326256
367,58149
368,74894
369,542866
370,10222
371,318706
372,235098
373,512118
374,65345
375,443133
376,285376
377,181896
378,101319
379,390094
380,28582
381,305371
382,68482
383,398702
384,448143
385,366787
386,573830
387,138119
388,170442
389,82350
390,248009
391,350302
392,422792
393,145628
394,37830
395,231387
396,310843
397,18873
398,193895
399,281722
400,404917
401,156104
402,155493
403,332832
404,408252
405,316363
406,70087
407,71157
408,156572
409,140522
410,173089
411,530038
412,45946
413,23774
414,279071
415,554083
416,134081
417,407520
418,169660
419,391406
420,117192
421,167206
422,339966
423,91705
424,11758
425,82981
426,197650
427,153486
428,381721
429,354167
430,547293
431,526721
432,251144
433,364722
434,20371
435,303922
436,385359
437,19060
438,332316
439,73602
440,426232
441,432506
442,142420
443,220989
444,255669
445,216694
446,27089
447,52248
448,156323
449,544597
450,518966
451,199865
452,183562
453,385078
454,67805
455,6973
456,435249
457,78336
458,382081
459,408501
460,77380
461,52155
462,243650
463,525420
464,55727
465,217247
466,248979
467,234781
468,183204
469,306342
470,295194
471,220255
472,569188
473,383902
474,553531
475,489942
476,460312
477,136783
478,370745
479,328819
480,416697
481,336764
482,500664
483,102367
484,168334
485,130512
486,479690
487,118118
488,221183
489,160967
490,574275
491,564934
492,190378
493,170540
494,408426
495,539897
496,424225
497,561124
498,482439
499,453680
500,61674
501,469619
502,436046
503,238448
504,485465
505,391910
506,494398
507,74601
508,141807
509,167453
510,521570
511,245202
512,243333
513,335696
514,335357
515,203765
516,571695
517,567253
518,195840
519,201184
520,140738
521,575257
522,64634
523,85777
524,390923
525,506592
526,548020
527,560819
528,258110
529,215592
530,414577
531,65860
532,453157
533,82984
534,452348
535,135577
536,548013
537,189631
538,317732
539,421241
540,352194
541,149556
542,273729
543,534975
544,183379
545,203214
546,23283
547,288054
548,483041
549,296599
550,285046
551,354480
552,9696
553,379711
554,359110
555,128311
556,486350
557,507536
558,400926
559,353384
560,110156
561,530082
562,533293
563,360660
564,260967
565,533602
566,398174
567,520533
568,519554
569,484304
570,351566
571,44958
572,117139
573,317873
574,203085
575,416386
576,279550
577,107197
578,446322
579,311378
580,185448
581,560587
582,7239
583,63573
584,481285
585,77479
586,99030
587,126631
588,16233
589,21595
590,12377
591,316936
592,35176
593,565476
594,291614
595,317838
596,5589
597,33979
598,188040
599,81461
600,372037
601,482747
602,578225
603,502113
604,213976
605,399006
606,457054
607,244872
608,416585
609,147623
610,281461
611,563816
612,397687
613,571745
614,559992
615,568110
616,513342
617,230004
618,315160
619,89230
620,67959
621,232862
622,155939
623,505058
624,556653
625,139326
626,304076
627,254204
628,478067
629,48797
630,212584
631,432799
632,564129
633,378921
634,504023
635,26201
636,260117
637,337585
638,581022
639,360283
640,77544
641,483135
642,304078
643,289716
644,537069
645,152525
646,551507
647,343185
648,461775
649,344255
650,418408
651,35663
652,157502
653,144470
654,203108
655,119419
656,304557
657,509047
658,148909
659,415604
660,150636
661,187939
662,430759
663,577643
